http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20160106/HV/8,309,Class 3,GOOD,"TURF - ""A"" COURSE",1200,70.38,6 59.00,6 18.50,"6,11 249.00","6,11 78.00","6,11,5 1,376.00","5,6,11 164.00","3,5,6,11 222.00","6,11,5,3 5,272.00",,,,,,,,,,,,,,,,"1,6/7,8/2,6/7,9/6,8/6,11 1,413,378.00",4 [N Callan] (Refund:6 [C Schofield]),18.50,NOT WIN,NOT WIN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150909/HV/1,11,Class 5,GOOD,"TURF - ""A"" COURSE",1000,58.51,4 26.00,4 12.00,"4,5 166.00","4,5 57.50","4,5,3 8,064.00","3,4,5 2,833.00","2,3,4,5 2,688.00","4,5,3,2 43,875.00",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150909/HV/2,12,Class 4,GOOD,"TURF - ""A"" COURSE",1200,70.97,11 30.50,11 13.50,"10,11 76.50","10,11 36.00","11,10,3 860.00","3,10,11 245.00","1,3,10,11 278.00","11,10,3,1 4,029.00",,,,,,,,,4/11 74.50,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150909/HV/3,13,Class 3,GOOD,"TURF - ""A"" COURSE",1000,58.11,1 65.50,1 21.00,"1,4 198.00","1,4 70.00","1,4,2 2,550.00","1,2,4 307.00","1,2,4,6 290.00","1,4,2,6 9,066.00",,,,,,,,11/1 335.00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150909/HV/4,14,Class 5,GOOD,"TURF - ""A"" COURSE",1650,102.38,11 52.00,11 16.50,"2,11 110.50","2,11 40.50","11,2,6 986.00","2,6,11 154.00","2,6,10,11 551.00","11,2,6,10 10,237.00",,,,,,,1/11 426.50,,,,"1,2,4/2,6,11 5,604.00",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150909/HV/5,15,Class 4,GOOD,"TURF - ""A"" COURSE",1200,70.82,3 296.00,3 60.00,"3,8 1,184.00","3,8 256.00","3,8,9 24,776.00","3,8,9 3,223.00","1,3,8,9 2,032.00","3,8,9,1 76,880.00",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150909/HV/6,16,Class 4,GOOD,"TURF - ""A"" COURSE",1650,102.12,1 46.00,1 17.50,"1,8 75.50","1,8 33.50","1,8,4 420.00","1,4,8 69.00","1,4,8,12 461.00","1,8,4,12 8,272.00",,,,,"3/1 1,676.00",,,,,,,,,"2,6,11/3,8,9/Any combination 13,226.00","2,6,11/3,8,9/1,4,8 1,365,147.00",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150909/HV/7,17,Class 3,GOOD,"TURF - ""A"" COURSE",1650,102.58,10 56.50,10 18.50,"6,10 149.50","6,10 52.50","10,6,4 2,119.00","4,6,10 400.00","3,4,6,10 272.00","10,6,4,3 6,159.00",,,,1/10 284.50,,,,,,,,"1,4,8/4,6,10 5,212.00",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150909/HV/8,18,Class 3,GOOD,"TURF - ""A"" COURSE",1200,71.04,11 64.00,11 25.50,"1,11 315.00","1,11 106.00","11,1,8 3,716.00","1,8,11 601.00","1,2,8,11 900.00","11,1,8,2 21,971.00",,,,,,,,,,,,,,,,"1,4/2,11/3,8/1,8/6,10/1,11 20,920.00",4 [G Mosse],,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150705/ST/1,747,Griffin Race,GOOD TO FIRM,"TURF - ""A+3"" COURSE",1400,84.89,3 12.50,3 10.10,"2,3 25.00",,"3,2,5 33.00","2,3,5 13.00",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150705/ST/2,748,Class 5,GOOD TO FIRM,"TURF - ""A+3"" COURSE",1600,95.35,1 16.50,1 11.50,"1,10 77.50","1,10 37.00","1,10,13 2,516.00","1,10,13 568.00","1,10,12,13 920.00","1,10,13,12 11,551.00",,,,,,,,,3/1 18.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150705/ST/3,749,Class 4,GOOD TO FIRM,"TURF - ""A+3"" COURSE",1000,56.58,2 177.50,2 36.50,"2,3 1,532.50","2,3 310.00","2,3,5 79,174.00","2,3,5 6,365.00","2,3,5,7 18,521.00","2,3,5,7 456,008.00",,,,,,,,1/2 361.00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150705/ST/4,750,Class 4,GOOD TO FIRM,"TURF - ""A+3"" COURSE",1400,82.98,3 60.50,3 22.00,"3,7 238.50","3,7 89.00","3,7,10 9,365.00","3,7,10 1,692.00","3,7,10,11 6,888.00","3,7,10,11 135,099.00",,,,,,,"2/3 1,342.00",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150705/ST/5,751,Class 4,FAST,ALL WEATHER TRACK,1200,68.54,8 86.50,8 41.00,"2,8 445.50","2,8 137.50","8,2,5 21,896.00","2,5,8 4,764.00","2,5,8,11 2,868.00","8,2,5,11 88,846.00",,,,,,,,,,,"3,7,10/2,5,8 490,212.00",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150705/ST/6,752,Class 4,GOOD TO FIRM,"TURF - ""A+3"" COURSE",1600,95.07,9 95.50,9 31.50,"7,9 462.00","7,9 134.00","9,7,2 4,288.00","2,7,9 570.00","1,2,7,9 128.00","9,7,2,1 4,054.00",,,,,"8/9 1,194.00",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150705/ST/7,753,Class 3,GOOD TO FIRM,"TURF - ""A+3"" COURSE",1400,81.97,1 78.50,1 22.00,"1,12 560.00","1,12 132.00","1,12,8 8,177.00","1,8,12 1,180.00","1,3,8,12 1,018.00","1,12,8,3 27,518.00",,,,9/1 881.00,,,,,,,,,,"2,5,8/2,7,9/Any combination 34,321.00","2,5,8/2,7,9/1,8,12 24,466,803.00",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150705/ST/8,754,Class 3,FAST,ALL WEATHER TRACK,1650,98.57,3 74.00,3 24.50,"3,14 329.00","3,14 127.50","3,14,4 13,218.00","3,4,14 2,151.00","1,3,4,14 7,269.00","3,14,4,1 162,687.00",,,,,,,,,,,,"1,8,12/3,4,14 365,134.00",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150705/ST/9,755,Class 3,GOOD TO FIRM,"TURF - ""A+3"" COURSE",1000,56.26,8 43.00,8 18.00,"5,8 237.50","5,8 114.00","8,5,10 3,719.00","5,8,10 678.00","5,8,10,11 16,828.00","8,5,10,11 234,158.00",,3/8 302.00,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150705/ST/10,756,Class 2,GOOD TO FIRM,"TURF - ""A+3"" COURSE",2000,121.76,8 29.50,8 14.50,"6,8 56.00","6,8 29.00","8,6,12 3,004.00","6,8,12 1,048.00","6,8,11,12 1,982.00","8,6,12,11 23,043.00",8/8 107.00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150705/ST/11,757,Class 3,FAST,ALL WEATHER TRACK,1200,68.34,3 208.00,3 57.00,"1,3 2,693.00","1,3 691.50","3,1,5 28,917.00","1,3,5 2,347.00","1,3,5,7 5,289.00","3,1,5,7 174,734.00",,,,,,,,,,,,,"6,8,12/1,3,5 406,618.00",,,"7,9/1,12/3,14/5,8/6,8/1,3 156,021.00",2 [G Mosse],,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150204/HV/1,365,Class 5,GOOD,"TURF - ""A"" COURSE",1650,101.43,10 150.00,10 43.00,"1,10 1,220.00","1,10 377.00","10,1,7 23,739.00","1,7,10 5,073.00","1,7,10,12 14,333.00","10,1,7,12 424,967.00",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150204/HV/2,366,Class 5,GOOD,"TURF - ""A"" COURSE",1000,57.78,10 72.50,10 23.50,"7,10 198.50","7,10 64.50","10,7,8 2,373.00","7,8,10 349.00","7,8,10,12 1,192.00","10,7,8,12 23,268.00",,,,,,,,,"10/10 1,076.50",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150204/HV/3,367,Class 4,GOOD,"TURF - ""A"" COURSE",1200,70.87,5 97.00,5 25.00,"5,7 131.50","5,7 60.00","5,7,12 3,150.00","5,7,12 463.00","5,7,11,12 2,160.00","5,7,12,11 52,461.00",,,,,,,,10/5 892.00,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150204/HV/4,368,Class 4,GOOD,"TURF - ""A"" COURSE",1800,111.06,2 135.50,2 40.50,"2,4 241.50","2,4 127.00","2,4,5 4,872.00","2,4,5 892.00","2,4,5,11 10,285.00","2,4,5,11 207,025.00",,,,,,,5/2 711.00,,,,"5,7,12/2,4,5 69,212.00",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150204/HV/5,369,Class 3,GOOD,"TURF - ""A"" COURSE",1200,69.94,6 194.00,6 34.00,"6,8 711.00","6,8 160.50","6,8,4 5,848.00","4,6,8 830.00","4,6,7,8 642.00","6,8,4,7 27,545.00",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150204/HV/6,370,Class 4,GOOD,"TURF - ""A"" COURSE",1650,101.7,7 52.50,7 19.50,"1,7 84.50","1,7 43.50","7,1,2 1,794.00","1,2,7 317.00","1,2,6,7 747.00","7,1,2,6 14,841.00",,,,,"6/7 1,515.50",,,,,,,,,"2,4,5/4,6,8/Any combination 26,583.00","2,4,5/4,6,8/1,2,7 1,626,863.00",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150204/HV/7,371,Class 3,GOOD,"TURF - ""A"" COURSE",1200,70.55,7 76.50,7 26.00,"6,7 161.50","6,7 52.00","7,6,12 1,899.00","6,7,12 299.00","2,6,7,12 222.00","7,6,12,2 7,282.00",,,,7/7 362.00,,,,,,,,"1,2,7/6,7,12 14,906.00",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150204/HV/8,372,Class 3,GOOD,"TURF - ""A"" COURSE",1800,110.69,10 62.00,10 22.00,"1,10 1,321.00","1,10 332.00","10,1,11 26,392.00","1,10,11 5,533.00","1,3,10,11 11,674.00","10,1,11,3 242,805.00",,,,,,,,,,,,,,,,"5,7/2,4/6,8/1,7/6,7/1,10 49,243.00",6 [O Doleuze],,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150308/ST/1,440,Class 5,GOOD,ALL WEATHER TRACK,1650,99.67,2 52.00,2 17.00,"2,11 926.50","2,11 287.50","2,11,1 13,598.00","1,2,11 2,100.00","1,2,11,14 26,141.00","2,11,1,14 552,296.00",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150308/ST/2,441,Class 4,GOOD TO FIRM,"TURF - ""C+3"" COURSE",1000,57.28,9 117.50,9 34.00,"9,11 397.00","9,11 124.00","9,11,14 58,990.00","9,11,14 17,024.00","9,10,11,14 37,252.00","9,11,14,10 1,033,326.00",,,,,,,,,2/9 708.00,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150308/ST/3,442,Class 4,GOOD,ALL WEATHER TRACK,1650,99.25,2 53.50,2 17.50,"2,5 410.50","2,5 134.50","2,5,6 5,860.00","2,5,6 1,199.00","2,5,6,10 30,228.00","2,5,6,10 549,137.00",,,,,,,,9/2 471.50,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150308/ST/4,443,Class 4,GOOD TO FIRM,"TURF - ""C+3"" COURSE",1400,82.51,9 32.00,9 15.00,"1,9 107.50","1,9 42.50","9,1,6 2,803.00","1,6,9 685.00","1,3,6,9 797.00","9,1,6,3 17,411.00",,,,,,,2/9 267.00,,,,"2,5,6/1,6,9 70,408.00",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://racing.hkjc.com/racing/Info/Meeting/Results/English/Local/20150308/ST/5,444,Class 4,GOOD TO FIRM,"TURF - ""C+3"" COURSE",1800,109.6,3 37.00,3 17.50,"1,3 116.50","1,3 45.00","3,1,14 922.00","1,3,14 257.00","1,3,8,14 405.00","3,1,14,8 5,573.00",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
